epoch,acc,loss,lr,val_acc,val_loss
0,0.26798,1.95035707268,0.009999999776482582,0.3703,1.71856264935
1,0.4736,1.44936981712,0.009999999776482582,0.5455,1.26204745016
2,0.5652,1.21494164352,0.009999999776482582,0.5993,1.1139291254
3,0.62938,1.04944442024,0.009999999776482582,0.6524,0.986904975843
4,0.6705,0.935389727287,0.009999999776482582,0.7049,0.844879513383
5,0.70388,0.839058073425,0.009999999776482582,0.7305,0.778333368826
6,0.73274,0.763844608917,0.009999999776482582,0.717,0.825478432035
7,0.75388,0.704872454262,0.009999999776482582,0.7528,0.751073361039
8,0.77138,0.660040247993,0.009999999776482582,0.797,0.602231764185
9,0.78524,0.620976406441,0.009999999776482582,0.8106,0.569979487139
10,0.79714,0.584148034515,0.009999999776482582,0.8132,0.577043286335
11,0.80836,0.554110155716,0.009999999776482582,0.8253,0.516248145819
12,0.81548,0.535714561768,0.009999999776482582,0.8191,0.530213849682
13,0.82386,0.508391995945,0.009999999776482582,0.8233,0.522655337793
14,0.83208,0.486699925842,0.009999999776482582,0.816,0.554419178468
15,0.83766,0.470543349915,0.009999999776482582,0.8297,0.512417236978
16,0.84462,0.449434463816,0.009999999776482582,0.8235,0.520910846597
17,0.85114,0.432258392935,0.009999999776482582,0.8458,0.447987749782
18,0.85378,0.422195740585,0.009999999776482582,0.8519,0.445284672284
19,0.85734,0.409273135552,0.009999999776482582,0.8512,0.461535503191
20,0.86428,0.393999870014,0.009999999776482582,0.8514,0.430890765813
21,0.86696,0.383900762863,0.009999999776482582,0.8585,0.43035454407
22,0.87194,0.371634758654,0.009999999776482582,0.8647,0.401615422371
23,0.87326,0.365523135209,0.009999999776482582,0.8644,0.40067693789
24,0.87896,0.349618448544,0.009999999776482582,0.8565,0.442229128672
25,0.88224,0.344670281639,0.009999999776482582,0.864,0.4220293992
26,0.88298,0.338683687916,0.009999999776482582,0.8633,0.433604819977
27,0.88554,0.330345844378,0.009999999776482582,0.8603,0.441220728153
28,0.8887,0.318623403959,0.009999999776482582,0.8672,0.411683482318
29,0.89196,0.312025130692,0.009999999776482582,0.8568,0.434403313389
30,0.89466,0.307575577793,0.009999999776482582,0.8626,0.441733142322
31,0.89588,0.298196593981,0.009999999776482582,0.8653,0.423565716009
32,0.89736,0.296569760551,0.009999999776482582,0.8624,0.43247290589
33,0.89766,0.289737132857,0.009999999776482582,0.8796,0.386379700839
34,0.90294,0.280383153803,0.009999999776482582,0.8691,0.409723137824
35,0.90558,0.276407299032,0.009999999776482582,0.866,0.440583670795
36,0.90548,0.271234533377,0.009999999776482582,0.868,0.429778759352
37,0.90632,0.269394895105,0.009999999776482582,0.8687,0.418011902467
38,0.9096,0.260727787066,0.009999999776482582,0.8725,0.412337976793
39,0.9096,0.261500223441,0.009999999776482582,0.8678,0.432223742359
40,0.91016,0.258298402762,0.009999999776482582,0.8747,0.399066834086
41,0.91212,0.254427304487,0.009999999776482582,0.873,0.413283131256
42,0.91282,0.247118344984,0.009999999776482582,0.8774,0.393347390237
43,0.91356,0.248464391441,0.009999999776482582,0.8739,0.404456295878
44,0.91678,0.240827373714,0.009999999776482582,0.8768,0.421103042274
45,0.93968,0.173634352717,0.0009999999310821295,0.8908,0.373411512325
46,0.9499,0.1455149142,0.0009999999310821295,0.8915,0.377977399021
47,0.95192,0.138082205508,0.0009999999310821295,0.8935,0.377694029682
48,0.95372,0.130582863801,0.0009999999310821295,0.8929,0.376857285379
49,0.95546,0.128281723665,0.0009999999310821295,0.8926,0.377256523054
